time,gFx,gFy,gFz,TgF
0.765375577,0.6626,0.7432,-0.1586,1.008
0.766018654,0.6628,0.7437,-0.1586,1.009
0.768041846,0.6631,0.7469,-0.1617,1.012
0.770613885,0.6614,0.7464,-0.1632,1.011
0.772448385,0.6609,0.7464,-0.1642,1.010
0.774044923,0.6601,0.7466,-0.1652,1.010
0.776365923,0.6592,0.7479,-0.1664,1.011
0.78274,0.6594,0.7481,-0.1678,1.011
0.783395154,0.6572,0.7459,-0.1725,1.009
0.783600269,0.6560,0.7466,-0.1730,1.009
0.784586692,0.6562,0.7469,-0.1725,1.009
0.786557038,0.6550,0.7474,-0.1727,1.009
0.789902615,0.6526,0.7466,-0.1735,1.007
0.791882154,0.6528,0.7447,-0.1739,1.005
0.795775346,0.6518,0.7457,-0.1754,1.006
0.797391346,0.6509,0.7466,-0.1764,1.006
0.798214654,0.6501,0.7457,-0.1766,1.005
0.799483808,0.6489,0.7454,-0.1783,1.004
0.809701,0.6479,0.7444,-0.1803,1.003
0.810092,0.6479,0.7444,-0.1803,1.003
0.810221346,0.6479,0.7457,-0.1815,1.004
0.810448538,0.6477,0.7454,-0.1823,1.004
0.810563423,0.6489,0.7430,-0.1832,1.003
0.810680692,0.6489,0.7474,-0.1845,1.007
0.815286654,0.6504,0.7471,-0.1847,1.008
0.815624692,0.6509,0.7464,-0.1845,1.007
0.816271038,0.6543,0.7486,-0.1859,1.011
0.8180425,0.6557,0.7505,-0.1859,1.014
0.821638385,0.6555,0.7510,-0.1879,1.014
0.821913077,0.6565,0.7508,-0.1874,1.015
0.824177885,0.6567,0.7513,-0.1864,1.015
0.826376115,0.6577,0.7510,-0.1881,1.016
0.829430923,0.6575,0.7510,-0.1891,1.016
0.830340769,0.6597,0.7515,-0.1888,1.018
0.832450577,0.6599,0.7522,-0.1898,1.019
0.834262731,0.6606,0.7535,-0.1888,1.020
0.836405961,0.6616,0.7542,-0.1896,1.021
0.838137731,0.6621,0.7547,-0.1891,1.022
0.842452231,0.6628,0.7518,-0.1891,1.020
0.842928731,0.6628,0.7518,-0.1891,1.020
0.844308077,0.6633,0.7549,-0.1901,1.023
0.848292,0.6643,0.7544,-0.1903,1.023
0.848685846,0.6653,0.7544,-0.1886,1.023
0.850164384,0.6645,0.7547,-0.1867,1.023
0.852146461,0.6655,0.7552,-0.1867,1.024
0.854308692,0.6653,0.7554,-0.1867,1.024
0.856173192,0.6650,0.7566,-0.1869,1.025
0.857676961,0.6650,0.7571,-0.1881,1.025
0.861720154,0.6658,0.7566,-0.1852,1.025
0.861950461,0.6663,0.7571,-0.1849,1.025
0.865428961,0.6667,0.7576,-0.1849,1.026
0.865873,0.6663,0.7574,-0.1840,1.025
0.868391808,0.6663,0.7574,-0.1840,1.025
0.870128577,0.6663,0.7576,-0.1827,1.025
0.872180884,0.6665,0.7584,-0.1820,1.026
0.874092654,0.6655,0.7584,-0.1823,1.025
0.876343346,0.6663,0.7606,-0.1805,1.027
0.882179769,0.6665,0.7586,-0.1803,1.026
0.882576115,0.6645,0.7579,-0.1791,1.024
0.882731615,0.6645,0.7579,-0.1791,1.024
0.887255384,0.6653,0.7588,-0.1781,1.025
0.887599769,0.6645,0.7571,-0.1766,1.023
0.888898846,0.6631,0.7559,-0.1747,1.021
0.890418731,0.6633,0.7569,-0.1725,1.021
0.892395923,0.6638,0.7564,-0.1722,1.021
0.894223423,0.6616,0.7562,-0.1715,1.019
0.896631308,0.6611,0.7557,-0.1678,1.018
0.898860538,0.6614,0.7554,-0.1664,1.018
0.902362384,0.6592,0.7552,-0.1652,1.016
0.902662346,0.6594,0.7549,-0.1647,1.016
0.904328538,0.6594,0.7549,-0.1647,1.016
0.906109577,0.6575,0.7552,-0.1642,1.015
0.908304384,0.6572,0.7547,-0.1637,1.014
0.910330731,0.6575,0.7540,-0.1617,1.013
0.914610077,0.6565,0.7525,-0.1605,1.011
0.915317346,0.6560,0.7535,-0.1598,1.012
0.916082884,0.6545,0.7542,-0.1581,1.011
0.918110461,0.6560,0.7542,-0.1568,1.012
0.922792231,0.6572,0.7542,-0.1564,1.013
0.923113,0.6572,0.7542,-0.1564,1.013
0.924528077,0.6562,0.7547,-0.1546,1.012
0.926431692,0.6570,0.7540,-0.1527,1.012
0.928348384,0.6565,0.7562,-0.1524,1.013
0.930028192,0.6567,0.7581,-0.1512,1.014
0.932765423,0.6570,0.7579,-0.1507,1.014
0.934201307,0.6592,0.7581,-0.1510,1.016
0.936686307,0.6584,0.7579,-0.1507,1.015
0.9387375,0.6587,0.7576,-0.1512,1.015
0.942256,0.6584,0.7586,-0.1502,1.016
0.942461461,0.6584,0.7586,-0.1502,1.016
0.944925192,0.6567,0.7593,-0.1495,1.015
0.947440154,0.6575,0.7591,-0.1493,1.015
0.949252961,0.6575,0.7581,-0.1495,1.015
0.950551769,0.6577,0.7576,-0.1480,1.014
0.952645077,0.6572,0.7576,-0.1493,1.014
0.953880307,0.6567,0.7581,-0.1500,1.014
0.956468,0.6577,0.7576,-0.1490,1.014
0.958648115,0.6560,0.7562,-0.1471,1.012
0.964006884,0.6533,0.7552,-0.1471,1.009
0.964281307,0.6533,0.7552,-0.1471,1.009
0.964426807,0.6535,0.7537,-0.1473,1.008
0.966569884,0.6528,0.7537,-0.1473,1.008
0.968580654,0.6516,0.7542,-0.1468,1.007
0.970480923,0.6499,0.7547,-0.1463,1.007
0.972021538,0.6494,0.7549,-0.1461,1.006
0.974101615,0.6506,0.7535,-0.1478,1.006
0.976519461,0.6509,0.7532,-0.1480,1.006
0.978581384,0.6506,0.7537,-0.1473,1.007
0.985198384,0.6506,0.7557,-0.1476,1.008
0.985609231,0.6506,0.7557,-0.1476,1.008
0.985766423,0.6516,0.7593,-0.1478,1.011
0.990779769,0.6514,0.7613,-0.1488,1.013
0.991170692,0.6511,0.7610,-0.1502,1.013
0.991310538,0.6518,0.7620,-0.1520,1.014
0.9928975,0.6528,0.7635,-0.1512,1.016
0.994674731,0.6543,0.7642,-0.1512,1.017
0.998335923,0.6526,0.7657,-0.1532,1.018
